22@s.s@Tennis@s.s@4473@s.s@Marketa Vondrousova@s.s@0
22@s.s@Tennis@s.s@8076@s.s@M. Vondrousova@s.s@0
22@s.s@Tennis@s.s@7824@s.s@Karolina Muchova@s.s@0
22@s.s@Tennis@s.s@7806@s.s@Kevin Anderson@s.s@0
22@s.s@Tennis@s.s@7805@s.s@Taylor Fritz@s.s@0
22@s.s@Tennis@s.s@7804@s.s@Gilles Simon@s.s@0
22@s.s@Tennis@s.s@8034@s.s@A. Rosolska@s.s@0
22@s.s@Tennis@s.s@8033@s.s@D. Collins@s.s@0
22@s.s@Tennis@s.s@8031@s.s@C. Lister@s.s@0
22@s.s@Tennis@s.s@8029@s.s@Ar. Rodionova@s.s@0
22@s.s@Tennis@s.s@8036@s.s@K. Kozlova@s.s@0
22@s.s@Tennis@s.s@8093@s.s@Ek. Alexandrova@s.s@0
22@s.s@Tennis@s.s@7796@s.s@Pedro Martinez@s.s@0
22@s.s@Tennis@s.s@8091@s.s@M. Ninomiya@s.s@0
22@s.s@Tennis@s.s@8090@s.s@N. Hibino@s.s@0
22@s.s@Tennis@s.s@8448@s.s@Diego Schwartzman@s.s@0
22@s.s@Tennis@s.s@8446@s.s@Sam Querrey@s.s@0
22@s.s@Tennis@s.s@7795@s.s@Daniil Medvedev@s.s@0
22@s.s@Tennis@s.s@8442@s.s@Stefanos Tsitsipas@s.s@0
22@s.s@Tennis@s.s@8444@s.s@Yoshihito Nishioka@s.s@0
22@s.s@Tennis@s.s@8447@s.s@Marton Fucsovics@s.s@0
22@s.s@Tennis@s.s@7794@s.s@Federico Delbonis@s.s@0
22@s.s@Tennis@s.s@8037@s.s@M. Linette@s.s@0
22@s.s@Tennis@s.s@8088@s.s@A. Riske@s.s@0
22@s.s@Tennis@s.s@8039@s.s@D. Jakupovic@s.s@0
22@s.s@Tennis@s.s@7792@s.s@Rafael Nadal@s.s@0
22@s.s@Tennis@s.s@8703@s.s@Guido Pella@s.s@0
22@s.s@Tennis@s.s@7790@s.s@Alexei Popyrin@s.s@0
22@s.s@Tennis@s.s@8087@s.s@V. Kudermetova@s.s@0
22@s.s@Tennis@s.s@8040@s.s@R. Olaru@s.s@0
22@s.s@Tennis@s.s@7789@s.s@Jaume Munar@s.s@0
22@s.s@Tennis@s.s@7788@s.s@Pierre-Hugues Herbert@s.s@0
22@s.s@Tennis@s.s@7787@s.s@David Goffin@s.s@0
22@s.s@Tennis@s.s@8042@s.s@T. Babos@s.s@0
22@s.s@Tennis@s.s@8043@s.s@K. Mladenovic@s.s@0
22@s.s@Tennis@s.s@8045@s.s@J. Moore@s.s@0
22@s.s@Tennis@s.s@7786@s.s@Peter Gojowczyk@s.s@0
22@s.s@Tennis@s.s@8046@s.s@A. Sharma@s.s@0
22@s.s@Tennis@s.s@7784@s.s@Yuichi Sugita@s.s@0
22@s.s@Tennis@s.s@8028@s.s@J. Fourlis@s.s@0
22@s.s@Tennis@s.s@8048@s.s@A. Barty@s.s@0
22@s.s@Tennis@s.s@8049@s.s@J. Goerges@s.s@0
22@s.s@Tennis@s.s@7803@s.s@Nick Kyrgios@s.s@0
22@s.s@Tennis@s.s@8026@s.s@S. Sanders@s.s@0
22@s.s@Tennis@s.s@7802@s.s@Ivo Karlovic@s.s@0
22@s.s@Tennis@s.s@8051@s.s@A. Cornet@s.s@0
22@s.s@Tennis@s.s@8052@s.s@F. Ferro@s.s@0
22@s.s@Tennis@s.s@8054@s.s@Z. Diyas@s.s@0
22@s.s@Tennis@s.s@8025@s.s@P. Hon@s.s@0
22@s.s@Tennis@s.s@8023@s.s@S. Santamaria@s.s@0
22@s.s@Tennis@s.s@8055@s.s@E. Rybakina@s.s@0
22@s.s@Tennis@s.s@8057@s.s@G. Minnen@s.s@0
22@s.s@Tennis@s.s@8085@s.s@M. Minella@s.s@0
